SEVERA,WO,KA,,,,,,,,,,7,1,1,,,,,
INTEGRA,CC,NF,,,,,,,1,,,,,,,,,,
INTEGRA,GF,NF,,,1,,,,,,,,,,,,,,
INTEGRA,LC,NF,,15,23,,,,,,,,,,,,,,
INTEGRA,LW,NF,,,1,,,,6,,,,,,,,,,
INTEGRA,MD,NF,,1,2,4,,,,,,,,,,,,,
INTEGRA,OU,MF,,,30,,,,,,,,,,,,,,
INTEGRA,SM,NF,,,12,1,,,,,,,,,,,,,
INTEGRA,UT,NF,,,1,,,,,,,,,,,,,,
INTEGRA,WO,KA,,62,30,,,,,,,,,,,,,,
GRANDIS,LC,NF,,2,1,,,,,,,,,,,,,,
GRANDIS,LW,NF,,,1,1,,,,,,,,,,,,,
GRANDIS,MR,MF,,,,,,,2,,,,,,,,,,
GRANDIS,OU,MF,,,1,3,,,,,,,,,,,,,
GRANDIS,PR,KA,,,2,1,,1,,,,,,,,,,,
GRANDIS,SM,NF,,,1,,,,,,,,,,,,,,
GRANDIS,ST5R,KA,,,,,1,,,,,,,,,,,,
GRANDIS,WO,KA,,4,4,,,,,,,,,,,,,,
